Alert ID,Ticker,Name,Description,Time
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4237.640, ""strategy"": ""ZepixPremium""}",2025-12-01T16:10:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4237.640, ""strategy"": ""ZepixPremium""}",2025-12-01T16:10:00Z
3445666978,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.06,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bear"", ""tf"": ""15m"", ""price"": 4225.450, ""strategy"": ""ZepixPremium""}",2025-12-01T14:45:00Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4247.395, ""strategy"": ""ZepixPremium""}",2025-12-01T14:00:00Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4247.395, ""strategy"": ""ZepixPremium""}",2025-12-01T14:00:00Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4260.040, ""strategy"": ""ZepixPremium""}",2025-12-01T13:40:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4260.040, ""strategy"": ""ZepixPremium""}",2025-12-01T13:40:00Z
3445700582,"OANDA:XAUUSD, 15m",15M TIMEFRAME ENTRIES.04,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""15m"", ""price"": 4246.605, ""strategy"": ""ZepixPremium""}",2025-12-01T13:00:00Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4250.980, ""strategy"": ""ZepixPremium""}",2025-12-01T12:10:00Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4250.980, ""strategy"": ""ZepixPremium""}",2025-12-01T12:10:00Z
3445686666,"OANDA:XAUUSD, 15m",15M TIMEFRAME ENTRIES.03,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""15m"", ""price"": 4258.720, ""strategy"": ""ZepixPremium""}",2025-12-01T10:15:00Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4258.935, ""strategy"": ""ZepixPremium""}",2025-12-01T10:05:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4258.935, ""strategy"": ""ZepixPremium""}",2025-12-01T10:05:00Z
3445658867,"OANDA:XAUUSD, 1h",1H TIMEFRAME TREND.03,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""1h"", ""price"": 4250.125, ""strategy"": ""ZepixPremium""}",2025-12-01T10:00:02Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4239.805, ""strategy"": ""ZepixPremium""}",2025-12-01T08:50:00Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4239.805, ""strategy"": ""ZepixPremium""}",2025-12-01T08:50:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4250.930, ""strategy"": ""ZepixPremium""}",2025-12-01T08:15:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4245.350, ""strategy"": ""ZepixPremium""}",2025-12-01T08:00:00Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4239.300, ""strategy"": ""ZepixPremium""}",2025-12-01T06:50:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4239.300, ""strategy"": ""ZepixPremium""}",2025-12-01T06:50:00Z
3445700582,"OANDA:XAUUSD, 15m",15M TIMEFRAME ENTRIES.04,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""15m"", ""price"": 4232.770, ""strategy"": ""ZepixPremium""}",2025-12-01T05:15:00Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4238.120, ""strategy"": ""ZepixPremium""}",2025-12-01T02:35:00Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4238.120, ""strategy"": ""ZepixPremium""}",2025-12-01T02:35:00Z
3445658867,"OANDA:XAUUSD, 1h",1H TIMEFRAME TREND.03,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""1h"", ""price"": 4255.560, ""strategy"": ""ZepixPremium""}",2025-12-01T02:00:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4255.560, ""strategy"": ""ZepixPremium""}",2025-12-01T02:00:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4241.485, ""strategy"": ""ZepixPremium""}",2025-12-01T01:45:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4238.670, ""strategy"": ""ZepixPremium""}",2025-12-01T01:30:00Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4238.670, ""strategy"": ""ZepixPremium""}",2025-12-01T01:30:00Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4222.660, ""strategy"": ""ZepixPremium""}",2025-12-01T01:10:00Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4222.660, ""strategy"": ""ZepixPremium""}",2025-12-01T01:10:00Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4231.885, ""strategy"": ""ZepixPremium""}",2025-12-01T00:45:01Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4231.885, ""strategy"": ""ZepixPremium""}",2025-12-01T00:45:01Z
3445670583,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.02,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""5m"", ""price"": 4216.730, ""strategy"": ""ZepixPremium""}",2025-11-28T19:20:01Z
3445705781,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.06,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""tf"": ""1h"", ""price"": 4216.730, ""strategy"": ""ZepixPremium""}",2025-11-28T19:20:01Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4221.485, ""strategy"": ""ZepixPremium""}",2025-11-28T18:45:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4220.350, ""strategy"": ""ZepixPremium""}",2025-11-28T18:30:00Z
3445658867,"OANDA:XAUUSD, 1h",1H TIMEFRAME TREND.03,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""1h"", ""price"": 4216.970, ""strategy"": ""ZepixPremium""}",2025-11-28T18:00:01Z
3445658867,"OANDA:XAUUSD, 1h",1H TIMEFRAME TREND.03,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""1h"", ""price"": 4206.400, ""strategy"": ""ZepixPremium""}",2025-11-28T17:00:00Z
3445702280,"OANDA:XAUUSD, 5m",1H TIMEFRAME ENTRIES.05,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""1h"", ""price"": 4209.580, ""strategy"": ""ZepixPremium""}",2025-11-28T16:30:02Z
3445667982,"OANDA:XAUUSD, 5m",5M TIMEFRAME ENTRIES.01,"{""type"": ""entry"", ""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""tf"": ""5m"", ""price"": 4209.580, ""strategy"": ""ZepixPremium""}",2025-11-28T16:30:00Z
3445662849,"OANDA:XAUUSD, 15m",15M TIMEFRAME TREND.05,"{""type"": ""trend"", ""symbol"": ""XAUUSD"", ""signal"": ""bull"", ""tf"": ""15m"", ""price"": 4209.580, ""strategy"": ""ZepixPremium""}",2025-11-28T16:30:00Z
